id,zone_id,crop_id
1,3,1
2,4,1
3,1,2
4,2,2
5,3,2
6,3,3
7,4,3
8,1,3
9,2,3
10,1,4
11,3,4
12,2,5
13,1,5
14,4,5
15,3,5
16,3,6
17,1,6
18,4,6
19,2,7
20,4,7
21,1,7
22,3,7
23,2,8
24,1,9
25,3,9
26,3,10
27,1,10
28,2,10
29,4,11
30,1,11
31,3,11
32,2,11
33,3,12
34,1,12
35,4,12
36,2,12
37,2,13
38,3,13
39,3,14
40,1,15
41,2,15
42,3,15
43,4,15
44,3,16
45,1,16
46,2,16
47,4,17
48,1,17
49,3,17
50,2,17
51,4,18
52,2,18
53,3,18
54,1,18
55,1,19
56,3,19
57,2,19
58,4,19
59,3,20
60,1,20
61,1,21
62,4,21
63,2,22
64,1,22
65,4,22
66,3,22
67,4,23
68,1,23
69,3,23
70,2,23
71,3,24
72,1,24
73,1,25
74,2,25
75,3,25
76,4,25
77,3,26
78,2,26
79,3,27
80,2,27
81,3,28
82,2,28
83,4,29
84,1,29
85,2,30
86,1,30
87,4,30
88,3,30
89,2,31
90,1,31
91,3,31
92,4,32
93,3,32
94,2,32
95,2,33
96,1,33
97,3,33
98,4,33
99,4,34
100,1,34
101,3,34
102,2,34
103,3,35
104,2,35
105,1,35
106,4,36
107,3,36
108,2,36
109,1,36
110,1,37
111,3,37
112,2,37
113,4,37
114,2,38
115,1,38
116,3,38
117,1,39
118,2,39
119,3,39
120,1,40
121,2,40
122,3,40
123,1,41
124,4,41
125,3,41
126,2,41
127,2,42
128,3,42
129,1,42
130,1,43
131,1,44
132,2,44
133,4,44
134,3,44
135,2,45
136,1,45
137,3,45
138,2,46
139,1,46
140,4,46
141,3,46
142,3,47
143,1,47