id,label,created_at,updated_at,deleted_at
1,Taxonomy & Listing,2022-10-28 13:00:11.181209-04,2022-10-28 13:00:11.181209-04,
2,References & Resources,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
3,Environmental Tolerances,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
4,Disease & Non-Weed Pests,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
5,Planting Dates,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
6,Growth,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
7,Planting,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
8,Termination,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
9,Soil Conditions,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
10,Weeds,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
11,Basic Agronomics,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
12,Goals,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
13,Notes,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,
14,Uncategorized,2022-10-28 13:00:11.184833-04,2022-10-28 13:00:11.184833-04,